,South Bay virus,Suffolk virus,Blacklegged tick phlebovirus 1,Blacklegged tick phlebovirus 2,Blacklegged tick phlebovirus 3,Powassan virus,Ixodes scapularis associated virus 1,Ixodes scapularis associated virus 2,Borreliella burgdorferi,Borrelia mayonii,Borrelia miyamotoi,Babesia microti,Babesia odocoilei,Anaplasma phagocytophilum,Rickettsia,Ehrlichia,Wolbachia,Novel Worm,Escherichia,Cladosporium,Pseudomonas,Stenotrophomonas,Bradyrhizobium,Zymoseptoria,Bacillus coagulans,Delftia acidovorans,Aureobasidium,Alternaria,Ralstonia solanacearum,Mycobacterium spp.,Leptosphaeria,Colletotrichum,Aspergillus
Tick 52,0,350.7,1257.6,0,0,0,81,0,71.5,0,0,0,0,413.4,0,0,0,0,0.0,0.0,6.2,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0
Tick 53,0,0,1126.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.2,0.0,0.0,0.0,74.8,0.0,0.0,0.0,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 54,0,0,0,1046.9,0,0,0,0,395.7,0,0,0,378.6,0,0,0,0,385.5,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 55,0,0,20.9,0,0,0,0,0,23.8,0,0,0,0,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 56,0,372.4,584.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 57,1397.9,39,72.8,0,0,0,0,0,0,0,0,0,60.9,0,91.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 58,0,0,463.6,0,0,0,0,0,28,0,0,0,0,0,17.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 59,2063.4,207.1,421.7,0,0,0,0,0,643.1,0,0,0,335.5,0,96.7,0,0,0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 60,6576.8,0,524.8,0,0,0,0,0,55.3,0,0,0,0,0,42.4,0,0,0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 61,2945.6,0,352.6,0,0,0,0,0,0,0,0,21.2,0,0,99.7,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 62,0,364.2,571.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 63,0,0,169.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 64,1656,0,0,115.2,0,0,0,0,0,0,0,0,0,0,33.7,0,0,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 65,0,0,38.4,0,0,0,0,0,0,0,0,0,0,0,33.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 67,0,0,38.4,156.9,0,0,0,0,350,0,0,0,0,0,110.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 68,4438.3,0,132.4,282.6,0,0,0,0,0,0,0,0,0,0,66.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 69,24.7,0,203.5,0,128.1,0,0,0,0,0,0,0,0,0,7.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 70,0,666.4,0,671.8,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 71,0,0,165.8,0,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 72,1532.9,0,262.8,14.6,0,0,0,0,210.2,0,0,0,0,81.7,32.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 73,4595.9,0,298.7,0,0,0,0,240.7,0,0,0,0,0,0,0,0,17.3,772.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 74,0,0,83.4,0,0,0,0,0,86.5,0,0,0,0,487,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 75,9229.9,0,0,365.9,0,0,0,0,65.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 76,0,0,531.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 77,0,0,3513.7,0,0,0,0,0,118.4,0,0,0,0,0,0,0,0,0,0.0,10666.5,34.8,0.0,0.0,355.1,0.0,0.0,155.5,155.5,0.0,0.0,34.8,32.5,32.5
Tick 78,4844.7,0,397.4,0,117.7,0,0,0,0,0,0,0,0,229.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 79,2450.4,0,0,275.7,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 80,0,0,268.6,0,0,0,0,0,78.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 81,4305.1,0,393.4,0,0,0,0,0,0,0,0,0,0,0,0,0,90.2,4904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 82,0,67.5,280.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 83,4770.9,0,660.3,0,0,0,0,0,905.8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 84,2784.1,0,73.7,0,0,0,0,0,78.6,0,0,0,0,0,39.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 85,0,0,818.9,0,0,0,0,0,785.5,0,0,1424.7,0,0,81.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 86,0,0,506.9,0,0,0,0,0,0,0,0,0,274.4,0,45.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 87,1771.8,0,248.9,0,0,0,0,0,0,0,0,0,0,178.4,20.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 88,0,0,88,0,0,0,0,0,37.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 89,994.1,0,807,0,105.8,0,0,0,0,0,0,0,0,0,27.7,0,0,545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 90,0,0,524.2,0,27,0,0,0,568.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 91,0,0,191.9,0,0,0,0,0,345.3,0,0,0,0,0,64.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 92,3949.5,0,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 93,995.1,0,149.4,0,50.7,0,0,0,352.1,0,0,1494,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 94,0,0,559.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 95,0,0,0,1078.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 96,1515.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7974.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 97,0,0,1127.2,0,0,0,119.7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 98,17286.8,1388.9,878.8,0,0,0,0,0,926.7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 99,0,0,0,182,0,0,0,0,0,0,0,0,496.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 100,31322.6,511.5,1829.4,0,0,0,0,0,2887.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 101,11610.7,0,471.2,0,0,0,0,0,1217.4,0,0,616.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 102,3527.5,0,0,0,0,0,0,0,197.3,0,0,0,0,0,17.8,0,53.3,2042.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 103,1458.8,0,0,925,10,0,6.1,0,199.8,0,0,62.3,178.9,109.4,37.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 104,15846.8,0,522.1,0,0,0,0,0,8.1,0,0,0,0,0,68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 105,12454.4,238.2,1152.9,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 106,0,0,22.1,0,0,0,0,0,0,0,0,0,0,130.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 107,12542.1,0,1051,0,0,0,0,0,49.5,0,5674.3,0,0,0,64.3,0,5.8,100.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 108,0,0,348.5,0,0,0,0,0,63.3,0,0,1582.9,0,0,33,0,0,0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 109,13446.9,0,2395.7,0,0,0,0,0,656.6,0,0,0,0,0,0,0,0,0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 110,7793.2,14.7,219.7,0,0,0,0,0,0,119.5,0,0,0,0,32.3,0,0,0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 111,11018.3,0,359.5,0,0,0,0,0,405.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tick 112,0,0,5026.7,0,0,0,55.7,0,1001.2,0,0,0,0,0,0,4238.5,0,0,1336.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
